"size","max_distance","mean_distance","min_distance","sd_distance","best_matched_network_number","best_matched_network_name","best_matched_network_index"
"5","0.5957","0.216","0.0706","0.074","4229250","Lthick_L15N_LPC.m_SCDia_SdL","39282109"
"6","0.5957","0.1988","0.052","0.0784","19038226","Lthick_SLA_SCDia_WDL_SdNum_DispL","51336619"
"7","0.4247","0.1794","0.0485","0.0766","1191042","Lthick_L15N_LNC.m_LPC.m_SSD_WDL_SdM","122268178"
"8","0.4278","0.1609","0.0471","0.0722","2388116","Llen_SLA_L15N_LCNR_SSD_SCDen_RD_SdNum","118338936"
"9","0.4091","0.1444","0.0434","0.0668","2442279","LA_Lthick_Llen_LWC_LNC.m_SCDen_SCElen_RD_SdNum","56779856"
"10","0.3898","0.1298","0.0349","0.0614","69561476","Llen_L15N_LNC.m_LPC.m_SSD_SCDen_SCElen_RD_SdNum_SD","82561931"
"11","0.3877","0.117","0.0286","0.0562","4762854","Lthick_Llen_LWC_LFM_L15N_LNC.m_LPC.m_SSD_SCDia_SRL_SdL","84412336"
"12","0.3782","0.1058","0.0231","0.0513","6639267&6639491","&LA_Lthick_LWC_L15N_LCC.m_LNC.m_LPC.m_SCDen_SCElen_RD_SdNum_SdL&LA_Lthick_L15N_LDMC_LCC.m_LNC.m_LPC.m_SCDen_SCElen_RD_SdNum_SdL","52735206&53036038"
"13","0.3517","0.0959","0.0185","0.0468","6683404","Llen_Lwid_LDMC_LCC.m_LPC.m_LCNR_SSD_SCDen_SCDia_SCElen_RD_SdNum_SdL","112011197"
"14","0.3359","0.0871","0.0143","0.0427","86362028","Llen_Lwid_LWC_L15N_LDMC_LCC.m_LNC.m_SCDen_SCDia_SCElen_RD_SdNum_DispL_SD","83303454"
"15","0.3211","0.0791","0.0109","0.0389","75955882","Lthick_Lwid_LWC_L15N_LCC.m_LNC.m_LPC.m_LCNR_SSD_SCDen_SCDia_WDL_RD_SdGE_SD","75049260"
"16","0.305","0.0717","0.0096","0.0353","80194989","LA_Llen_Lwid_LWC_L15N_LDMC_LNC.m_LPC.m_SSD_SCDia_SCElen_WDL_RD_SdL_SdGE_SD","127570009"
"17","0.2913","0.0648","0.0099","0.032","82243532&81981420","&Llen_Lwid_LFM_L15N_LDMC_LCC.m_LNC.m_LPC.m_SSD_SCDen_SCDia_WDL_RD_SdNum_SdL_SdGE_SD&Llen_Lwid_LWC_LFM_L15N_LDMC_LCC.m_LNC.m_LPC.m_SSD_SCDen_SCDia_WDL_SdNum_SdL_SdGE_SD","58463281&109346861"
"18","0.2714","0.0584","0.0113","0.0288","80212988&99332072&82835376&126348847","&Llen_Lwid_SLA_LWC_LFM_L15N_LDMC_LCC.m_LCNR_SSD_SCDen_SCDia_SCElen_WDL_RD_SdL_SdGE_SD&Lwid_LWC_LFM_L15N_LDMC_LCC.m_LNC.m_LPC.m_SSD_SCDia_SCElen_WDL_SRL_SdNum_SdL_SdGE_DispL_SD&SLA_LWC_L15N_LDMC_LCC.m_LNC.m_LCNR_SSD_SCDen_SCDia_SCElen_WDL_RD_SRL_SdNum_SdL_SdGE_SD&LA_Lthick_Llen_Lwid_LWC_LCC.m_LNC.m_LPC.m_SSD_SCDen_SCDia_SCElen_WDL_RD_SdGE_DispL_Height_SD","17442667&43072690&47509779&65600473"
"19","0.2506","0.0522","0.0118","0.0258","110608301&91094762","&LA_Llen_Lwid_LWC_L15N_LDMC_LCC.m_LNC.m_LPC.m_LCNR_SSD_SCDia_SCElen_WDL_RD_SdM_SdGE_Height_SD&Lthick_Lwid_LWC_LFM_L15N_LCC.m_LNC.m_LPC.m_LCNR_SSD_SCDen_SCDia_SCElen_RD_SRL_SdNum_SdL_DispL_SD","11147021&127265268"
"20","0.2295","0.0463","0.0092","0.0229","124239787&109543421&83877860","&LA_Lthick_Lwid_LWC_L15N_LDMC_LCC.m_LNC.m_LPC.m_LCNR_SSD_SCDia_SCElen_WDL_RD_SdNum_SdL_DispL_Height_SD&LA_Llen_Lwid_SLA_LWC_LFM_L15N_LDMC_LCC.m_LNC.m_LPC.m_LCNR_SSD_SCDen_SCElen_WDL_RD_SdGE_Height_SD&Llen_LWC_LFM_L15N_LDMC_LCC.m_LNC.m_LPC.m_LCNR_SCDen_SCDia_SCElen_WDL_RD_SRL_SdM_SdNum_SdL_SdGE_SD","53432870&58313168&104565802"
