"size","density","density_weighted","modularity_optimal","modularity_louvain","modularity_walktrap","number","gradient"
27,0.3618,0.133629,0.306215,0.288146,0.26612,134217727,2
27,0.4217,0.158189,0.282217,0.264166,0.280098,134217727,7
27,0.2194,0.120396,0.479757,0.473459,0.447075,134217727,10
27,0.4929,0.196337,0.249772,0.249772,0.244412,134217727,11
27,0.5755,0.227611,0.233097,0.232187,0.182792,134217727,12
27,0.5413,0.258742,0.163295,0.163295,0.126735,134217727,13
27,0.3419,0.179512,0.302457,0.302457,0.265126,134217727,14
27,0.6581,0.290751,0.245149,0.245149,0.226417,134217727,15
27,0.5128,0.213592,0.268488,0.268488,0.240331,134217727,17
27,0.4074,0.182021,0.292484,0.291605,0.269286,134217727,18
27,0.2849,0.15173,0.357957,0.314003,0.357957,134217727,21
27,0.4274,0.159789,0.303472,0.299209,0.296283,134217727,22
27,0.567,0.23667,0.228934,0.228934,0.221414,134217727,23
27,0.5726,0.223691,0.196055,0.184554,0.184878,134217727,26
27,0.5242,0.319343,0.172298,0.172298,0.105578,134217727,27
27,0.4302,0.255815,0.23509,0.229735,0.196711,134217727,29
27,0.4701,0.177814,0.28956,0.286013,0.266409,134217727,30
27,0.5128,0.208182,0.19413,0.192374,0.144908,134217727,31
27,0.5043,0.209197,0.229966,0.227199,0.203089,134217727,32
27,0.4387,0.163513,0.324831,0.324831,0.28623,134217727,34
27,0.567,0.248383,0.175997,0.175153,0.135539,134217727,36
27,0.6154,0.283699,0.145211,0.144989,0.141902,134217727,38
27,0.5413,0.225779,0.189326,0.189326,0.144006,134217727,40
27,0.6382,0.338616,0.108961,0.108961,0.071917,134217727,42
27,0.4046,0.227739,0.342631,0.342631,0.33599,134217727,43
27,0.5869,0.2442,0.14893,0.148198,0.121704,134217727,45
27,0.4274,0.180152,0.268271,0.263236,0.236353,134217727,48
27,0.4815,0.242896,0.161616,0.156955,0.124277,134217727,49
27,0.3818,0.157726,0.282538,0.279229,0.210884,134217727,52
27,0.4416,0.169813,0.264825,0.255034,0.213106,134217727,53
27,0.3305,0.148937,0.337867,0.336409,0.269264,134217727,54
27,0.5983,0.320007,0.278831,0.278831,0.278831,134217727,56
27,0.3191,0.167488,0.317588,0.305213,0.305213,134217727,57
27,0.3476,0.205258,0.239266,0.239266,0.239266,134217727,58
27,0.4615,0.198866,0.197215,0.197215,0.152253,134217727,59
27,0.416,0.212143,0.302321,0.302321,0.297225,134217727,60
27,0.2393,0.132082,0.405168,0.403002,0.395311,134217727,61
27,0.5157,0.19712,0.213176,0.204019,0.209508,134217727,62
27,0.547,0.243306,0.186146,0.186146,0.180065,134217727,63
27,0.2934,0.14629,0.375869,0.375869,0.369564,134217727,65
27,0.5271,0.20167,0.204422,0.204422,0.194128,134217727,66
27,0.4274,0.174047,0.310554,0.310554,0.280245,134217727,67
27,0.4359,0.178314,0.22525,0.222875,0.205763,134217727,68
27,0.7892,0.52006,0.028826,0.028826,0.007541,134217727,69
27,0.1766,0.09625,0.448693,0.448693,0.447135,134217727,71
27,0.2536,0.108152,0.344221,0.336514,0.329501,134217727,72
27,0.3248,0.152658,0.290373,0.290373,0.285965,134217727,73
27,0.2735,0.119271,0.365567,0.355957,0.307164,134217727,74
27,0.4046,0.157004,0.248439,0.247187,0.235416,134217727,75
27,0.3732,0.153773,0.314838,0.305825,0.309554,134217727,77
27,0.265,0.156277,0.322632,0.31907,0.286085,134217727,80
27,0.4188,0.218145,0.237862,0.232533,0.183133,134217727,83
27,0.302,0.120717,0.300221,0.300221,0.221681,134217727,85
27,0.4672,0.188633,0.267582,0.259577,0.248681,134217727,86
27,0.3761,0.143151,0.287396,0.280882,0.287396,134217727,87
27,0.7293,0.397415,0.068324,0.06805,0.032185,134217727,88
27,0.6182,0.261908,0.123241,0.115261,0.102164,134217727,89
27,0.1681,0.087051,0.429144,0.4252,0.375754,134217727,90
27,0.5299,0.211128,0.181855,0.17752,0.155045,134217727,94
27,0.5641,0.225064,0.232241,0.227104,0.230336,134217727,96
27,0.245,0.135525,0.400939,0.400939,0.3769,134217727,97
27,0.2877,0.137277,0.338215,0.30654,0.325148,134217727,98
27,0.5584,0.239232,0.2467,0.2467,0.219518,134217727,101
27,0.6439,0.272727,0.201069,0.200465,0.16742,134217727,102
27,0.4672,0.258782,0.104026,0.0962,0.035514,134217727,103
27,0.49,0.273409,0.197785,0.196778,0.18121,134217727,111
27,0.3362,0.198359,0.258906,0.251422,0.220761,134217727,112
27,0.2222,0.113435,0.467317,0.467317,0.464008,134217727,113
27,0.4587,0.175354,0.225325,0.225325,0.191755,134217727,114
27,0.5556,0.282557,0.16117,0.160548,0.127545,134217727,115
27,0.3077,0.149906,0.318958,0.302696,0.287032,134217727,116
27,0.4644,0.171382,0.249149,0.242302,0.229601,134217727,120
27,0.3333,0.186086,0.281379,0.276393,0.255558,134217727,123
27,0.4473,0.172901,0.230926,0.230926,0.166003,134217727,126
27,0.4359,0.158717,0.264715,0.255553,0.225965,134217727,128
27,0.6467,0.274179,0.162922,0.153225,0.152631,134217727,129
27,0.4587,0.172364,0.284302,0.281034,0.252078,134217727,131
27,0.3447,0.165267,0.317599,0.31371,0.282934,134217727,134
27,0.396,0.1434,0.313437,0.309505,0.279443,134217727,137
27,0.5157,0.21388,0.199612,0.192789,0.154716,134217727,138
27,0.5242,0.223027,0.217071,0.203281,0.200712,134217727,140
27,0.3989,0.152045,0.326188,0.323296,0.315023,134217727,141
27,0.6125,0.351108,0.092884,0.091575,0.052924,134217727,144
27,0.3447,0.133211,0.322922,0.322922,0.244382,134217727,145
27,0.245,0.132,0.412415,0.412415,0.407808,134217727,148
27,0.5157,0.251392,0.222367,0.222367,0.209494,134217727,153
27,0.2849,0.155024,0.306833,0.306833,0.283648,134217727,158
27,0.2735,0.17309,0.221108,0.221108,0.140739,134217727,159
27,0.5755,0.233693,0.183368,0.180345,0.147066,134217727,160
27,0.416,0.156792,0.285998,0.276709,0.265026,134217727,161
27,0.4501,0.225343,0.199283,0.193781,0.193781,134217727,163
27,0.4501,0.167121,0.280827,0.280659,0.280659,134217727,164
27,0.5128,0.192602,0.248103,0.248103,0.223896,134217727,166
27,0.5014,0.198882,0.211516,0.199828,0.186925,134217727,167
27,0.4473,0.168472,0.26477,0.26229,0.250934,134217727,169
27,0.5442,0.218326,0.257591,0.250518,0.240425,134217727,170
27,0.4046,0.145152,0.29558,0.277043,0.294231,134217727,171
27,0.5071,0.195884,0.238925,0.238925,0.231469,134217727,172
27,0.4701,0.17447,0.240751,0.237964,0.240751,134217727,176
27,0.433,0.236116,0.226639,0.22221,0.172702,134217727,180
27,0.5214,0.193598,0.225309,0.219672,0.207558,134217727,181
27,0.4074,0.150127,0.261522,0.247419,0.250915,134217727,182
27,0.5299,0.207719,0.21005,0.181476,0.206084,134217727,188
27,0.5014,0.306458,0.198718,0.198718,0.178651,134217727,189
27,0.4387,0.188014,0.259354,0.25402,0.253669,134217727,190
27,0.3504,0.216198,0.222049,0.222049,0.221904,134217727,193
27,0.5356,0.199535,0.219118,0.219118,0.195231,134217727,197
27,0.5783,0.326538,0.114948,0.114948,0.078362,134217727,198
27,0.2137,0.120227,0.38167,0.380986,0.370582,134217727,203
27,0.3903,0.145368,0.314414,0.310853,0.289918,134217727,213
27,0.4245,0.178789,0.224916,0.221518,0.20925,134217727,214
27,0.3789,0.130735,0.300368,0.296827,0.272711,134217727,216
27,0.2308,0.110159,0.376607,0.376607,0.327793,134217727,218
27,0.4103,0.144956,0.253114,0.252938,0.253114,134217727,219
27,0.3447,0.156853,0.278327,0.276268,0.244737,134217727,221
27,0.4103,0.159556,0.251079,0.245246,0.226273,134217727,223
27,0.5214,0.219566,0.167267,0.158599,0.120105,134217727,226
27,0.3533,0.171596,0.267256,0.240884,0.267256,134217727,234
27,0.6211,0.253019,0.172456,0.171258,0.157463,134217727,235
27,0.4929,0.255148,0.204892,0.204892,0.187225,134217727,238
27,0.49,0.181741,0.203829,0.203829,0.171847,134217727,239
27,0.3846,0.204914,0.268672,0.268672,0.26514,134217727,240
27,0.4131,0.161901,0.277511,0.272028,0.259394,134217727,241
27,0.302,0.135425,0.30937,0.302854,0.277611,134217727,242
27,0.5242,0.227869,0.211358,0.211358,0.169664,134217727,243
27,0.6866,0.317361,0.165504,0.163548,0.151753,134217727,244
27,0.2934,0.123983,0.34363,0.34317,0.286951,134217727,247
27,0.3504,0.170419,0.307771,0.304852,0.242228,134217727,248
27,0.2593,0.126962,0.421745,0.421745,0.421745,134217727,251
27,0.3077,0.135734,0.373247,0.352394,0.338088,134217727,253
27,0.4758,0.218178,0.212364,0.21102,0.181169,134217727,256
27,0.2963,0.174134,0.300989,0.29952,0.224908,134217727,257
