"from","to","weight"
"SSD","SLA",0.334173331541432
"SSD","LCC.m",0.238556340648469
"SLA","LCC.m",0.291277220345674
"SLA","LNC.m",0.561339888994396
"SSD","LPC.m",0.392468977119802
"SLA","LPC.m",0.510526041986123
"LCC.m","LPC.m",0.301123923394442
"LNC.m","LPC.m",0.48892760990531
"SLA","SD",0.239357632913121
"LCC.m","SD",0.225511888716941
"SSD","SdM",0.425868949730837
"SLA","SdM",0.223249189915323
"LCC.m","SdM",0.339285202066291
"LPC.m","SdM",0.288345786291322
"SD","SdM",0.292520626169196
"SSD","SdL",0.354805179832255
"SLA","SdL",0.252557993530393
"LCC.m","SdL",0.337970407937488
"LPC.m","SdL",0.267485790155827
"SD","SdL",0.258266490555914
"SdM","SdL",0.919220565272817
"SLA","Lthick",0.497098003225217
"LNC.m","Lthick",0.316653563446031
"SSD","LDMC",0.458540164578904
"SLA","LDMC",0.629953192995531
"LCC.m","LDMC",0.38390288475136
"LNC.m","LDMC",0.390360155238651
"LPC.m","LDMC",0.496100204751201
"SD","LDMC",0.216935827160326
"SdM","LDMC",0.466558932308561
"SdL","LDMC",0.459453223661541
"LNC.m","L15N",0.328122480251454
"SdM","L15N",0.281454670633377
"SdL","L15N",0.271146649065853
"SD","SdGE",0.310147186076508
"SSD","SdNum",0.286274292254934
"SdM","SdNum",0.418265125866574
"SdL","SdNum",0.36278605180508
"LDMC","SdNum",0.212284702751964
"SdM","Llen",0.296372882424704
"SdL","Llen",0.366703387413297
"SdM","Lwid",0.470108085783073
"SdL","Lwid",0.453117564772311
"L15N","Lwid",0.210500299615212
"Llen","Lwid",0.693523825608523
"SLA","LCNR",0.420646006027536
"LNC.m","LCNR",0.822347813053621
"LPC.m","LCNR",0.381689810176467
"Lthick","LCNR",0.302170820721327
"LDMC","LCNR",0.22410274273097
"L15N","LCNR",0.312999944509215
"SdM","LFM",0.456230329403129
"SdL","LFM",0.439178440525588
"L15N","LFM",0.24592708489616
"Llen","LFM",0.578537080854224
"Lwid","LFM",0.751634466937813
"SSD","SCDen",0.213813389473578
"LPC.m","SCDen",0.232989315270421
"SdM","SCDen",0.551735381628377
"SdL","SCDen",0.481209593630633
"Lthick","SCDen",0.233028011424808
"LDMC","SCDen",0.270972605561835
"L15N","SCDen",0.467295901726426
"SdNum","SCDen",0.413557325058963
"Llen","SCDen",0.356424494384232
"Lwid","SCDen",0.351834387201655
"LFM","SCDen",0.454707343208995
"SSD","DispL",0.281867292450601
"SLA","DispL",0.235465642322196
"LCC.m","DispL",0.280129511360929
"LPC.m","DispL",0.2465193656339
"SD","DispL",0.288282211534244
"SdM","DispL",0.835273161501235
"SdL","DispL",0.928765640674944
"LDMC","DispL",0.430175841141614
"SdNum","DispL",0.33553052844861
"Llen","DispL",0.36823918570129
"Lwid","DispL",0.390979800854445
"LFM","DispL",0.380553563140573
"SCDen","DispL",0.326176875452366
"LNC.m","SCDia",0.228470632050714
"SdM","SCDia",0.227945832278342
"Lthick","SCDia",0.26006847498978
"L15N","SCDia",0.259278248089213
"LCNR","SCDia",0.247341760469907
"LFM","SCDia",0.24196055255833
"SCDen","SCDia",0.339427062403168
"SdNum","SCElen",0.437838594281612
"Llen","SCElen",0.230540122396823
"LFM","SCElen",0.267099816392633
"SCDia","SCElen",0.328295668650362
"LCC.m","WDL",0.245746032136318
"SdM","WDL",0.340070259585438
"SdL","WDL",0.424023238753164
"L15N","WDL",0.390703532001105
"SdGE","WDL",0.242346046449343
"SdNum","WDL",0.274751819744216
"Llen","WDL",0.366563907512118
"Lwid","WDL",0.212610425875335
"LFM","WDL",0.337162710056902
"SCDen","WDL",0.28045549559662
"DispL","WDL",0.312749933186161
"SCDia","WDL",0.42266710245118
"SCElen","WDL",0.770526162827786
"SSD","SRL",0.342584076601694
"SLA","SRL",0.332753908885578
"LCC.m","SRL",0.302895551046624
"LPC.m","SRL",0.296252161177049
"SD","SRL",0.352759842794415
"SdM","SRL",0.56908554215346
"SdL","SRL",0.532344938327911
"LDMC","SRL",0.40748131416624
"SdNum","SRL",0.344760404929361
"Lwid","SRL",0.312433667103761
"LFM","SRL",0.29353340439141
"SCDen","SRL",0.463027858655191
"DispL","SRL",0.400337258698624
"SCElen","SRL",0.286430855274153
"WDL","SRL",0.24935640053033
"LNC.m","LA",0.201419757221475
"SdM","LA",0.534626192006543
"SdL","LA",0.528115685977673
"Lthick","LA",0.237647775195167
"L15N","LA",0.25581292426297
"Llen","LA",0.676086470247143
"Lwid","LA",0.801227683223366
"LCNR","LA",0.203596506684498
"LFM","LA",0.799014292440912
"SCDen","LA",0.532204164315625
"DispL","LA",0.478922604815234
"SCDia","LA",0.306277829756713
"SCElen","LA",0.24015894372376
"WDL","LA",0.340789923269435
"SRL","LA",0.283837007838666
"SSD","LWC",0.429581595648577
"SLA","LWC",0.60358036411894
"LCC.m","LWC",0.366268291147352
"LNC.m","LWC",0.371688581751426
"LPC.m","LWC",0.460100844650597
"SD","LWC",0.259356298556743
"SdM","LWC",0.438340293995537
"SdL","LWC",0.411970339790161
"LDMC","LWC",0.937056498999352
"SdNum","LWC",0.200771069914551
"LCNR","LWC",0.232377687507712
"SCDen","LWC",0.340667391508101
"DispL","LWC",0.395649025148562
"SCDia","LWC",0.202407812950508
"WDL","LWC",0.247177378362758
"SRL","LWC",0.384444150549243
"SSD","RD",0.390637513755415
"SLA","RD",0.340262486860331
"LPC.m","RD",0.225547923685341
"SD","RD",0.264851714106593
"SdM","RD",0.492843241420182
"SdL","RD",0.459176679504054
